Local Time,Demand
25Jan2023 5:00:00,"26,453"
25Jan2023 6:00:00,"27,369"
25Jan2023 7:00:00,"29,455"
25Jan2023 8:00:00,"32,247"
25Jan2023 9:00:00,"33,416"
25Jan2023 10:00:00,"32,030"
25Jan2023 11:00:00,"30,507"
25Jan2023 12:00:00,"29,332"
25Jan2023 13:00:00,"28,773"
25Jan2023 14:00:00,"28,370"
25Jan2023 15:00:00,"28,053"
25Jan2023 16:00:00,"27,139"
25Jan2023 17:00:00,"28,174"
25Jan2023 18:00:00,"30,084"
25Jan2023 19:00:00,"32,377"
25Jan2023 20:00:00,"33,025"
25Jan2023 21:00:00,"32,536"
25Jan2023 22:00:00,"31,795"
25Jan2023 23:00:00,"30,607"
26Jan2023 0:00:00,"28,783"
26Jan2023 1:00:00,"27,199"
26Jan2023 2:00:00,"26,643"
26Jan2023 3:00:00,"26,320"
26Jan2023 4:00:00,"25,906"
26Jan2023 5:00:00,"25,830"
26Jan2023 6:00:00,"26,746"
26Jan2023 7:00:00,"28,570"
26Jan2023 8:00:00,"30,899"
26Jan2023 9:00:00,"31,844"
26Jan2023 10:00:00,"30,627"
26Jan2023 11:00:00,"28,986"
26Jan2023 12:00:00,"28,234"
26Jan2023 13:00:00,"27,346"
26Jan2023 14:00:00,"26,750"
26Jan2023 15:00:00,"26,561"
26Jan2023 16:00:00,"26,845"
26Jan2023 17:00:00,"27,605"
26Jan2023 18:00:00,"29,743"
26Jan2023 19:00:00,"32,246"
26Jan2023 20:00:00,"33,100"
26Jan2023 21:00:00,"32,816"
26Jan2023 22:00:00,"32,105"
26Jan2023 23:00:00,"30,923"
27Jan2023 0:00:00,"29,272"
27Jan2023 1:00:00,"27,868"
27Jan2023 2:00:00,"27,250"
27Jan2023 3:00:00,"26,703"
27Jan2023 4:00:00,"26,465"
27Jan2023 5:00:00,"26,727"
27Jan2023 6:00:00,"26,947"
27Jan2023 7:00:00,"28,584"
27Jan2023 8:00:00,"30,997"
27Jan2023 9:00:00,"32,298"
27Jan2023 10:00:00,"31,104"
27Jan2023 11:00:00,"29,583"
27Jan2023 12:00:00,"29,078"
27Jan2023 13:00:00,"28,057"
27Jan2023 14:00:00,"27,296"
27Jan2023 15:00:00,"26,932"
27Jan2023 16:00:00,"27,320"
27Jan2023 17:00:00,"27,906"
27Jan2023 18:00:00,"29,369"
27Jan2023 19:00:00,"31,598"
27Jan2023 20:00:00,"32,049"
27Jan2023 21:00:00,"31,584"
27Jan2023 22:00:00,"31,082"
27Jan2023 23:00:00,"30,586"
28Jan2023 0:00:00,"29,146"
28Jan2023 1:00:00,"27,570"
28Jan2023 2:00:00,"26,585"
28Jan2023 3:00:00,"25,712"
28Jan2023 4:00:00,"25,225"
28Jan2023 5:00:00,"25,096"
28Jan2023 6:00:00,"25,571"
28Jan2023 7:00:00,"26,737"
28Jan2023 8:00:00,"27,968"
28Jan2023 9:00:00,"28,110"
28Jan2023 10:00:00,"27,389"
28Jan2023 11:00:00,"26,550"
28Jan2023 12:00:00,"26,080"
28Jan2023 13:00:00,"24,633"
28Jan2023 14:00:00,"23,653"
28Jan2023 15:00:00,"23,283"
28Jan2023 16:00:00,"23,632"
28Jan2023 17:00:00,"24,898"
28Jan2023 18:00:00,"26,890"
28Jan2023 19:00:00,"29,632"
28Jan2023 20:00:00,"30,454"
28Jan2023 21:00:00,"30,303"
28Jan2023 22:00:00,"29,650"
28Jan2023 23:00:00,"28,971"
29Jan2023 0:00:00,"28,051"
29Jan2023 1:00:00,"26,683"
29Jan2023 2:00:00,"25,744"
29Jan2023 3:00:00,"25,191"
29Jan2023 4:00:00,"24,493"
29Jan2023 5:00:00,"24,239"
29Jan2023 6:00:00,"24,407"
29Jan2023 7:00:00,"25,004"
29Jan2023 8:00:00,"25,875"
29Jan2023 9:00:00,"26,370"
29Jan2023 10:00:00,"27,290"
29Jan2023 11:00:00,"28,559"
29Jan2023 12:00:00,"28,999"
29Jan2023 13:00:00,"28,586"
29Jan2023 14:00:00,"28,423"
29Jan2023 15:00:00,"27,228"
29Jan2023 16:00:00,"27,056"
29Jan2023 17:00:00,"27,787"
29Jan2023 18:00:00,"29,341"
29Jan2023 19:00:00,"31,526"
29Jan2023 20:00:00,"32,137"
29Jan2023 21:00:00,"31,901"
29Jan2023 22:00:00,"31,088"
29Jan2023 23:00:00,"30,051"
30Jan2023 0:00:00,"28,147"
30Jan2023 1:00:00,"26,886"
30Jan2023 2:00:00,"26,204"
30Jan2023 3:00:00,"25,891"
30Jan2023 4:00:00,"25,477"
30Jan2023 5:00:00,"25,584"
30Jan2023 6:00:00,"26,307"
30Jan2023 7:00:00,"27,917"
30Jan2023 8:00:00,"30,767"
30Jan2023 9:00:00,"32,405"
30Jan2023 10:00:00,"32,332"
30Jan2023 11:00:00,"30,713"
30Jan2023 12:00:00,"30,185"
30Jan2023 13:00:00,"29,974"
30Jan2023 14:00:00,"30,568"
30Jan2023 15:00:00,"30,624"
30Jan2023 16:00:00,"29,822"
30Jan2023 17:00:00,"30,615"
30Jan2023 18:00:00,"31,915"
30Jan2023 19:00:00,"33,994"
30Jan2023 20:00:00,"34,820"
30Jan2023 21:00:00,"34,124"
30Jan2023 22:00:00,"33,210"
30Jan2023 23:00:00,"31,843"
31Jan2023 0:00:00,"30,095"
31Jan2023 1:00:00,"28,419"
31Jan2023 2:00:00,"27,697"
31Jan2023 3:00:00,"27,777"
31Jan2023 4:00:00,"27,316"
31Jan2023 5:00:00,"27,505"
31Jan2023 6:00:00,"27,785"
31Jan2023 7:00:00,"29,661"
31Jan2023 8:00:00,"32,273"
31Jan2023 9:00:00,"33,586"
31Jan2023 10:00:00,"32,063"
31Jan2023 11:00:00,"30,149"
31Jan2023 12:00:00,"28,794"
